Semilla,Algoritmo,Tipo de lista,Longitud,Categorías o Proporción desorden,Tiempo
576,catSort_flat,Aleatoria,100,5,0.001
576,catSort_flat,Aleatoria,100,10,0.0
576,catSort_flat,Aleatoria,100,15,0.0
576,catSort_flat,Casi ordenada,100,10,0.001
576,catSort_flat,Casi ordenada,100,20,0.0
576,catSort_flat,Casi ordenada,100,30,0.0
576,catSort_flat,Casi ordenada,100,40,0.0
576,catSort_flat,Casi ordenada,100,50,0.0
576,catSort_flat,Casi ordenada,100,60,0.0
576,catSort_flat,Casi ordenada,100,70,0.0
576,catSort_flat,Casi ordenada,100,80,0.0
576,catSort_flat,Casi ordenada,100,90,0.0
576,catSort_flat,Aleatoria,200,5,0.001
576,catSort_flat,Aleatoria,200,10,0.0
576,catSort_flat,Aleatoria,200,15,0.0
576,catSort_flat,Casi ordenada,200,10,0.0
576,catSort_flat,Casi ordenada,200,20,0.0
576,catSort_flat,Casi ordenada,200,30,0.0
576,catSort_flat,Casi ordenada,200,40,0.001
576,catSort_flat,Casi ordenada,200,50,0.0
576,catSort_flat,Casi ordenada,200,60,0.001
576,catSort_flat,Casi ordenada,200,70,0.0
576,catSort_flat,Casi ordenada,200,80,0.0
576,catSort_flat,Casi ordenada,200,90,0.001
576,catSort_flat,Aleatoria,300,5,0.0
576,catSort_flat,Aleatoria,300,10,0.0
576,catSort_flat,Aleatoria,300,15,0.001
576,catSort_flat,Casi ordenada,300,10,0.0
576,catSort_flat,Casi ordenada,300,20,0.001
576,catSort_flat,Casi ordenada,300,30,0.001
576,catSort_flat,Casi ordenada,300,40,0.001
576,catSort_flat,Casi ordenada,300,50,0.001
576,catSort_flat,Casi ordenada,300,60,0.001
576,catSort_flat,Casi ordenada,300,70,0.0005
576,catSort_flat,Casi ordenada,300,80,0.0
576,catSort_flat,Casi ordenada,300,90,0.001
576,catSort_flat,Aleatoria,400,5,0.0
576,catSort_flat,Aleatoria,400,10,0.001
576,catSort_flat,Aleatoria,400,15,0.0
576,catSort_flat,Casi ordenada,400,10,0.001
